RawAbundance,sample,group
728686.2344,Abundance.F1.Sample.non.treated,non_treated
267507.5313,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2297870.641,Abundance.F1.Sample.non.treated,non_treated
158785.7188,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1636993.992,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
430712.8438,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
174520.0625,Abundance.F1.Sample.non.treated,non_treated
493957.1875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1408354.188,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
862305.4219,Abundance.F1.Sample.non.treated,non_treated
5317677.453,Abundance.F1.Sample.non.treated,non_treated
17139692.84,Abundance.F1.Sample.non.treated,non_treated
226971.0156,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
30994867.14,Abundance.F1.Sample.non.treated,non_treated
53728166.3,Abundance.F1.Sample.non.treated,non_treated
182834.4063,Abundance.F1.Sample.non.treated,non_treated
